word,freq
trouble,0.03857211308097748
him,0.3263057019645424
classmates,0.026593195975083854
used,0.023718255869669382
country,0.022999520843315763
works,0.02347867752755151
destruction,0.020124580737901295
blood,0.03114518447532343
more,0.2304743651173934
light,0.02731193100143747
himself,0.12697652132247245
who,0.4551988500239578
an,0.4659798754192621
deep,0.02635361763296598
top,0.0340201245807379
path,0.024436990896023
say,0.02156205079060853
by,0.42381408720651653
police,0.028988979396262576
becoming,0.025155725922376616
organization,0.04048873981792046
teenage,0.021082894106372783
ends,0.03306181121226641
begins,0.04983229516051749
mysterious,0.11835170100622903
looks,0.028749401054144707
missing,0.02635361763296598
very,0.0776233828461907
doesn,0.08049832295160518
adventures,0.021082894106372783
body,0.04000958313368472
made,0.04599904168663153
behind,0.06612362242453282
due,0.02084331576425491
meet,0.03473885960709152
under,0.062050790608528986
name,0.04647819837086727
sister,0.07163392429324389
end,0.07522759942501198
does,0.0924772400574988
goes,0.05869669381887877
young,0.16530905606133206
appears,0.025634882606612362
look,0.023957834211787255
president,0.020124580737901295
sets,0.02731193100143747
falls,0.03234307618591279
big,0.03953042644944897
on,0.5424053665548635
left,0.06612362242453282
close,0.03210349784379492
rescue,0.028509822712026834
race,0.024436990896023
whom,0.03306181121226641
super,0.028749401054144707
survive,0.0340201245807379
government,0.02922855773838045
former,0.052228078581696216
naturally,0.028030666027791088
challenge,0.022520364159080018
decide,0.025634882606612362
bad,0.034259702922855774
has,0.5059894585529469
pretty,0.03569717297556301
side,0.044561571633924296
god,0.03114518447532343
allies,0.024197412553905128
best,0.0689985625299473
were,0.038092956396741734
back,0.14734068040249163
original,0.021322472448490656
and,0.9710110206037375
younger,0.027072352659319596
attention,0.027072352659319596
gets,0.1030186871106852
meets,0.050551030186871106
no,0.13847628174413032
another,0.09655007187350263
turned,0.029707714422616195
dreams,0.033540967896502155
killer,0.021082894106372783
ship,0.023957834211787255
every,0.043603258265452804
mind,0.033540967896502155
set,0.05198850023957834
together,0.08912314326784859
actually,0.056780067081935795
course,0.05773838045040728
army,0.020124580737901295
girls,0.08265452803066603
down,0.10325826545280306
humanity,0.039051269765213226
much,0.10134163871586009
force,0.044561571633924296
been,0.17585050311451844
two,0.16267369429803546
stay,0.022280785816962148
cute,0.025874460948730235
century,0.022520364159080018
thing,0.03785337805462386
like,0.13057019645424053
hope,0.028749401054144707
re,0.0584571154767609
instead,0.03114518447532343
face,0.06037374221370388
around,0.0908001916626737
she,0.37038811691423096
class,0.05486344034499281
if,0.13416387158600862
need,0.032822232870148536
half,0.029707714422616195
play,0.030666027791087687
take,0.12146621945376138
learn,0.052946813608049835
whose,0.06684235745088644
turns,0.07474844274077623
protect,0.049113560134163875
not,0.2827024436990896
fight,0.06947771921418304
are,0.392908481073311
herself,0.08936272160996646
deal,0.041926209870627694
stories,0.024197412553905128
mystery,0.022999520843315763
them,0.24988021082894107
near,0.020124580737901295
meanwhile,0.08720651653090561
true,0.06300910397700048
including,0.0515093435553426
beyond,0.022041207474844275
rest,0.04072831816003833
work,0.06660277910876856
plan,0.036655486344034496
order,0.056061332055582176
looking,0.04264494489698131
girl,0.195495927168184
king,0.03953042644944897
soon,0.11356013416387159
return,0.046717776712985146
will,0.27791087685673216
helps,0.02156205079060853
quite,0.03689506468615237
soul,0.02731193100143747
company,0.03258265452803066
upon,0.051269765213224724
do,0.13632007666506948
they,0.3497843794920939
town,0.049592716818399614
go,0.08073790129372305
helping,0.022999520843315763
want,0.034259702922855774
learns,0.056780067081935795
humans,0.042884523239099186
star,0.024197412553905128
business,0.02827024436990896
different,0.04216578821274557
off,0.11667465261140393
short,0.03330138955438428
threat,0.03378054623862003
among,0.029707714422616195
students,0.050551030186871106
wake,0.02156205079060853
where,0.14542405366554864
fellow,0.04216578821274557
as,0.5776233828461907
dream,0.026832774317201723
manga,0.022280785816962148
princess,0.04528030666027791
man,0.11332055582175371
military,0.03330138955438428
popular,0.02156205079060853
using,0.034259702922855774
struggle,0.022999520843315763
now,0.18711068519405846
entire,0.031384762817441306
or,0.2034020124580738
heroes,0.02084331576425491
makes,0.06085289889793963
quest,0.03689506468615237
isn,0.06923814087206516
dead,0.04168663152850982
earth,0.07882127455678006
years,0.1351221849544801
really,0.06708193579300431
world,0.2453282223287015
become,0.11116435074269286
secrets,0.028509822712026834
starts,0.0340201245807379
team,0.06324868231911836
when,0.4362721609966459
men,0.03378054623862003
runs,0.02827024436990896
but,0.5680402491614758
yet,0.043603258265452804
never,0.06396741734547197
village,0.028509822712026834
since,0.07163392429324389
japan,0.06780067081935794
was,0.13416387158600862
find,0.13847628174413032
past,0.09559175850503114
such,0.05773838045040728
same,0.046717776712985146
combat,0.024197412553905128
alien,0.03617632965979876
means,0.049113560134163875
all,0.33828461907043605
he,0.48826066123622425
memories,0.030426449448969814
unfortunately,0.04528030666027791
brings,0.029947292764734068
be,0.4343555342597029
while,0.19094393866794443
wants,0.07498802108289411
legendary,0.029947292764734068
after,0.19741255390512696
forces,0.06564446574029707
about,0.2172975563009104
city,0.07379012937230474
creatures,0.021801629132726402
real,0.05797795879252515
d,0.03210349784379492
kill,0.031384762817441306
move,0.0340201245807379
far,0.047436511739338764
his,0.5900814566363201
powers,0.08097747963584093
encounters,0.032822232870148536
island,0.03090560613320556
history,0.021322472448490656
t,0.26042165788212746
pilot,0.027551509343555342
one,0.37757546717776713
chaos,0.02156205079060853
going,0.07738380450407283
son,0.027791087685673215
hard,0.036655486344034496
guy,0.026114039290848108
desperate,0.022999520843315763
many,0.059894585529468136
festival,0.027791087685673215
